Ep ep_000679.25 | Time 0:49.41 | Steps  2418 | Reward  140298.0 | Avg(10)  132620.5 | Dist    367m ( 11.5%) | Buf   5.5% | Total   47967 | End: off_track
Ep ep_000680.25 | Time 0:50.93 | Steps  2494 | Reward  144849.5 | Avg(10)  141434.1 | Dist    387m ( 12.1%) | Buf   6.0% | Total   50461 | End: off_track
Ep ep_000681.25 | Time 0:47.73 | Steps  2334 | Reward  135250.1 | Avg(10)  140867.6 | Dist    377m ( 11.8%) | Buf   6.5% | Total   52795 | End: off_track
Ep ep_000682.25 | Time 0:49.47 | Steps  2421 | Reward  140419.7 | Avg(10)  143639.2 | Dist    387m ( 12.1%) | Buf   7.0% | Total   55216 | End: off_track
Ep ep_000683.25 | Time 0:48.29 | Steps  2362 | Reward  136949.6 | Avg(10)  142974.9 | Dist    376m ( 11.7%) | Buf   7.4% | Total   57578 | End: off_track
Ep ep_000684.25 | Time 0:47.51 | Steps  2323 | Reward  134620.5 | Avg(10)  141962.9 | Dist    374m ( 11.7%) | Buf   7.9% | Total   59901 | End: off_track
Ep ep_000685.25 | Time 0:47.47 | Steps  2321 | Reward  134500.1 | Avg(10)  140633.4 | Dist    391m ( 12.2%) | Buf   8.4% | Total   62222 | End: off_track
Ep ep_000686.25 | Time 0:00.00 | Steps 10000 | Reward  595315.1 | Avg(10)  185095.9 | Dist   3100m ( 96.9%) | Buf  10.4% | Total   72222 | End: max_steps
Ep ep_000687.25 | Time 0:00.00 | Steps 10000 | Reward  595245.9 | Avg(10)  230476.4 | Dist   3100m ( 96.9%) | Buf  12.4% | Total   82222 | End: max_steps
Ep ep_000688.25 | Time 2:32.73 | Steps  7293 | Reward  432792.1 | Avg(10)  259024.1 | Dist   2355m ( 73.6%) | Buf  13.8% | Total   89515 | End: off_track
  [track] length measured by TORCS sensor: 3100m
Ep ep_000689.25 | Time 3:21.30 | Steps  9722 | Reward  583551.3 | Avg(10)  303349.4 | Dist   3100m (100.0%) | Buf  15.8% | Total   99237 | End: finished
Ep ep_000690.25 | Time 0:00.00 | Steps 10000 | Reward  595185.3 | Avg(10)  348383.0 | Dist   3000m ( 96.8%) | Buf  17.8% | Total  109237 | End: max_steps
Ep ep_000691.25 | Time 2:35.75 | Steps  7444 | Reward  438079.1 | Avg(10)  378665.9 | Dist   2134m ( 68.9%) | Buf  19.3% | Total  116681 | End: off_track
Ep ep_000692.25 | Time 2:27.61 | Steps  7037 | Reward  415631.1 | Avg(10)  406187.0 | Dist   1989m ( 64.2%) | Buf  20.7% | Total  123718 | End: off_track
Ep ep_000693.25 | Time 2:28.25 | Steps  7069 | Reward  418759.9 | Avg(10)  434368.0 | Dist   1993m ( 64.3%) | Buf  22.1% | Total  130787 | End: off_track
